#{"source_date": "Unknown", "extract_date": "2017-03-28", "update_frequency": "Every month", "source_key": "HDX", "source_url": "http://data.humdata.org/dataset/004daf8f-2f9e-417a-92ee-9e2187d2da7e/resource/2ad318c8-e4a0-4626-a7be-8c4a10c5daad/download/LCB_SnapShot_DataSets_24Jan17.xlsx---Incidents_By_Loc_Map.csv"}
Month #,Month,date,ADMIN1,ADMIN2,LOCATION,LATITUDE  ,LONGITUDE  
#date+month,#date+month,#date,#adm1,#adm2,#loc,#geo+lat,#geo+lng
7,Jul,2016-07-01,,,Tchebe-Tchebe,11.002351,13.831994
8,Aug,2016-08-01,Borno,Askira/Uba,Askira,10.646971,12.911043
8,Aug,2016-08-01,,Damboa,Kuburihu,10.924968,13.022456
8,Aug,2016-08-01,,Marte,Marte,12.36113,13.8246
8,Aug,2016-08-01,,Ngala,Gamboru,12.37299,14.2069
8,Aug,2016-08-01,Diffa,NGuigmi,Kimegana,14.261395,13.1516
8,Aug,2016-08-01,Extreme-Nord,Logone-et-Chari,Fotokol,12.373082,14.227737
8,Aug,2016-08-01,,Mayo-Sava,Double-Alagarno,22.348352,28.490438
8,Aug,2016-08-01,,,Kolofata,11.162098,14.011511
8,Aug,2016-08-01,,,Mora,11.048476,14.147621
8,Aug,2016-08-01,Lac,Mamdi,Kaiga,14.21194,13.85657
9,Sep,2016-09-01,Borno,Chibok,Chibok,10.86583,12.847017
9,Sep,2016-09-01,,Damboa,Kwamjilari Gana,10.902282,13.05513
9,Sep,2016-09-01,,Kukawa,Tarari,12.933333,13.633333
9,Sep,2016-09-01,,Maiduguri,Maiduguri,11.846441,13.160274
9,Sep,2016-09-01,,Monguno,Monguno,12.67863,13.607917
9,Sep,2016-09-01,Diffa,Diffa,Gueskerou,13.486831,12.849657
9,Sep,2016-09-01,,Toumour,Toumour,27.333728,26.23968
9,Sep,2016-09-01,Extreme-Nord,Mayo-Sava,Gouzoudou,11.1106,14.038904
9,Sep,2016-09-01,,,Kerawa,11.184174,13.914228
9,Sep,2016-09-01,,,Mora,11.048476,14.147621
9,Sep,2016-09-01,Lac,Mamdi,Bol,13.5,14.683333
10,Oct,2016-10-01,Borno,Chibok,Chibok,10.86583,12.847017
10,Oct,2016-10-01,,Jere,Khaddamari,11.92589,13.23062
10,Oct,2016-10-01,,Maiduguri,Maiduguri,11.846441,13.160274
10,Oct,2016-10-01,Diffa,Diffa,Diffa,13.32,12.61
10,Oct,2016-10-01,Extreme-Nord,Logone-et-Chari,Makari,25.125584,28.888404
10,Oct,2016-10-01,,,Sagme,12.551398,14.25867
10,Oct,2016-10-01,,Mayo-Sava,Kolofata,11.162098,14.011511
10,Oct,2016-10-01,,,Sandawadjiri,11.11436,13.93389
11,Nov,2016-11-01,Borno,Askira/Uba,Huyum,10.768151,13.142878
11,Nov,2016-11-01,,Chibok,Chibok,10.86583,12.847017
